hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
6921,511,383,237,227,1004,1004,1539,584,638,675,671,671,1988,1129,1018,975,975,843,854,837,1159,1109,1426,1520,1704,3524,2309,1812,1707,1638,2123,948,1384,1266,2299,2431,2724,2549,4004,4918,4122,5769,5291,4035,4946,6239,5954,6864,6144,6327,6987,8474,8010,7987,7980,9210,10232,10935,10685,10490,10353,10910,11468,11305,9951,7581,7503
6927,33,11,18,10,12,12,685,345,229,200,121,121,95,115,148,95,132,253,455,431,491,357,348,279,179,834,483,721,894,772,989,1616,2317,1496,834,1160,984,590,1436,2309,1312,1740,2896,4321,4225,3875,3457,3390,2458,2831,3482,3497,2360,2142,2225,880,1851,1825,2987,9484,10716,8022,9000,11460,11272,10723,10365
7953,59,72,119,93,67,67,560,355,167,198,155,155,264,132,139,302,369,478,356,248,421,489,469,506,337,425,505,740,468,743,611,483,1151,1301,1246,435,520,416,783,2239,1239,963,972,2320,2958,4090,4492,5640,4420,5382,6535,6774,7768,5419,5679,5491,5899,7100,8915,10308,8906,10919,9523,15168,26136,29435,32735
7955,27,24,42,27,18,18,332,167,86,86,100,100,129,79,116,144,211,189,155,142,187,291,301,380,260,567,631,774,596,683,406,384,1072,1195,1138,524,648,530,733,2118,1278,1019,851,2282,3062,4112,4432,5600,4375,5342,6540,6746,7760,5438,5786,5520,5884,7040,8931,10359,9124,11344,10147,15838,26803,29871,32939
7979,104,53,74,127,79,79,542,779,768,1132,1799,1799,2240,2347,2288,2811,3121,6966,8180,10225,27094,23355,29566,23824,30385,27592,31094,26800,25726,29175,40004,36775,45174,48231,52466,53805,49982,54574,66280,76384,70336,86420,90645,75701,104515,111860,118377,132921,134107,148294,154909,170054,216953,211364,185978,211147,219883,258100,247644,241910,240898,268911,270480,301998,305226,308454,310553
7985,97,36,62,87,56,56,459,743,733,1093,1789,1789,2202,2329,2273,2782,3093,6899,8147,10197,27065,23317,29506,23788,30379,27579,31069,26777,25706,29108,39868,36747,45107,48182,52446,53726,49915,54533,66269,76355,70375,86429,90505,75925,103588,112044,119300,133259,134468,148871,155170,170010,216894,211354,185970,211082,219812,258026,247597,241874,240845,268857,270403,301935,305161,308388,310456
8000,1035,757,2494,2174,2692,2692,4451,5842,6185,6448,10479,10479,10131,16178,10952,14959,19658,16071,19093,19312,26964,29523,36211,38331,51256,37765,39869,52502,44669,84038,53812,39302,50023,52155,70334,69648,69900,77622,81398,100597,104599,131331,125865,113008,140776,147672,147870,173703,167211,201116,184912,163866,185739,157692,125608,153546,137925,159375,183165,165272,146864,161144,151375,170152,180068,189985,175737
8230,76,24,62,54,94,94,926,1115,1063,2111,2069,2069,1414,1409,1565,1946,2305,2331,2292,1950,2130,1047,1393,1766,1897,2576,1868,2181,2889,3109,2809,2358,2500,2762,4653,4280,3465,3454,4187,4576,5535,7584,9235,10122,7981,6513,8102,7789,6310,7099,6699,7970,6988,5307,6816,6977,7979,7137,5940,5554,5670,5765,6103,5705,5441,5430,6483
8429,96,59,98,139,86,86,589,794,798,1156,1820,1820,2239,2289,2313,2813,3101,7004,8198,10221,27071,23330,29546,23802,30396,27613,31079,26908,25791,29216,40076,36761,45140,48161,52406,53757,49852,54484,66207,76258,70194,86286,90839,75748,105041,111824,118224,132723,134025,148021,154735,169754,216575,210829,185683,210780,219430,257631,247258,241643,240643,268650,270143,301679,304916,308154,310294
8439,528,865,365,612,321,321,670,919,790,1147,1815,1815,2118,2234,2213,2762,3013,6900,8140,10185,27006,23220,29647,24095,30773,27697,31036,26766,25727,29114,39961,36743,45122,48354,52459,53774,49992,54463,66283,76222,70318,86290,90370,75571,103331,111528,118288,132920,134155,151695,156393,169992,216840,211266,186013,211046,219554,257856,247485,241938,240961,268867,270438,301935,305223,308511,311220
